"Family","No.","English Name","Scientific Name","Malay Name","Chinese Name","Review Species","Category","Local Status","RDB 3 Status","","","","","","","","","","","","","","","","","",""
"","344","Abbott's Babbler","Malacocincla abbotti","Kekicau-Belukar Biasa","阿氏雅鹛","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Laughingthrushes & Allies (Leiothrichidae)","345","Chinese Hwamei","Garrulax canorus","Kekicau-Raya Cina","画眉","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","346","White-crested Laughingthrush","Garrulax leucolophus","Kekicau-Raya Berjambul Biasa","白冠噪鹛","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"Fairy-bluebirds (Irenidae)","347","Asian Fairy-bluebird","Irena puella","Murai-Gajah Biasa","和平鸟","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"Nuthatches (Sittidae)","348","Velvet-fronted Nuthatch","Sitta frontalis","Pepatuk Biasa","绒额䴓","Yes","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"Starlings, Rhabdornises (Sturnidae)","349","Asian Glossy Starling","Aplonis panayensis","Perling-Kilat Asia","亚洲辉椋鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","350","Common Hill Myna","Gracula religiosa","Tiung-Emas Biasa","鹩哥","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","351","Javan Myna","Acridotheres javanicus","Gembala-Kerbau Sawah Jawa","爪哇八哥","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","352","Common Myna","Acridotheres tristis","Gembala-Kerbau Rumah","家八哥","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","353","Red-billed Starling","Spodiopsar sericeus","Perling Paruh Merah","丝光椋鸟","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","354","White-cheeked Starling","Spodiopsar cineraceus","Perling Pipi Putih","灰椋鸟","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","355","Daurian Starling","Agropsar sturninus","Perling Ubun Ungu","北椋鸟","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","356","Chestnut-cheeked Starling","Agropsar philippensis","Perling Pipi Coklat","紫背椋鸟","Yes","A","Vagr","DD","","","","","","","","","","","","","","","","","",""
"","357","White-shouldered Starling","Sturnia sinensis","Perling Bahu Putih","灰背椋鸟","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","358","Brahminy Starling","Sturnia pagodarum","Perling Ubun Hitam","黑冠椋鸟","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","359","Rosy Starling","Pastor roseus","Perling Jambu","粉红椋鸟","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","360","Common Starling","Sturnus vulgaris","Perling Bintang","紫翅椋鸟","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Thrushes (Turdidae)","361","Siberian Thrush","Geokichla sibirica","Murai-Tanah Kelabu Tua","白眉地鸫","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","362","Orange-headed Thrush","Geokichla citrina","Murai-Tanah Jingga Asia","橙头地鸫","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","363","Chinese Blackbird","Turdus mandarinus","Murai-Belanda Hitam Cina","乌鸫","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","364","Eyebrowed Thrush","Turdus obscurus","Murai-Belanda Bercelak Biasa","白眉鸫","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"Chats, Old World Flycatchers (Muscicapidae)","365","Oriental Magpie-Robin","Copsychus saularis","Murai-Kampung Biasa","鹊鸲","","A","Res/Intr","VU","","","","","","","","","","","","","","","","","",""
"","366","White-rumped Shama","Copsychus malabaricus","Murai-Hutan Biasa","白腰鹊鸲","","A/C","Res/Intr","EN","","","","","","","","","","","","","","","","","",""
"","367","Grey-streaked Flycatcher","Muscicapa griseisticta","Sambar-Kusam Lorek Utara","灰纹鹟","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","368","Dark-sided Flycatcher","Muscicapa sibirica","Sambar-Kusam Paruh Kecil","乌鹟","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","369","Ferruginous Flycatcher","Muscicapa ferruginea","Sambar-Kusam Api","棕尾褐鹟","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","370","Brown-breasted Flycatcher","Muscicapa muttui","Sambar-Kusam Kaki Jingga","褐胸鹟","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","371","Asian Brown Flycatcher","Muscicapa dauurica","Sambar-Kusam Biasa","北灰鹟","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","372","Brown-streaked Flycatcher","Muscicapa williamsoni","Sambar-Kusam Lorek Melayu","褐纹鹟","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","373","Spotted Flycatcher","Muscicapa striata","Sambar-Kusam Lorek Erasia","斑鹟","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","374","Blue-and-white Flycatcher","Cyanoptila cyanomelana","Sambar-Berlau Rengkung Hitam","白腹蓝鹟","Yes","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","375","Zappey's Flycatcher","Cyanoptila cumatilis","Sambar-Berlau Rengkung Biru","琉璃蓝鹟","Yes","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","376","Verditer Flycatcher","Eumyias thalassinus","Sambar-Ranting Biasa","铜蓝鹟","Yes","A","Vis","NE","","","","","","","","","","","","","","","","","",""
"","377","Chinese Blue Flycatcher","Cyornis glaucicomans","Sambar-Biru Utara","中华仙鹟","Yes","A","Vagr","NT","","","","","","","","","","","","","","","","","",""
"","378","Brown-chested Jungle Flycatcher","Cyornis brunneatus","Sambar-Hutan Cina","白喉林鹟","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","379","Mangrove Blue Flycatcher","Cyornis rufigastra","Sambar-Biru Bakau","红树仙鹟","Yes","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","380","Siberian Blue Robin","Larvivora cyane","Murai-Kecil Biru Biasa","蓝歌鸲","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","381","Yellow-rumped Flycatcher","Ficedula zanthopygia","Sambar-Kunyit Kening Putih","白眉姬鹟","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","382","Green-backed Flycatcher","Ficedula elisae","Sambar-Kunyit Hijau","绿背姬鹟","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","383","Narcissus Flycatcher","Ficedula narcissina","Sambar Kunyit Timur","黄眉姬鹟","Yes","A","Vagr","DD","","","","","","","","","","","","","","","","","",""
"","384","Mugimaki Flycatcher","Ficedula mugimaki","Sambar Dada Jingga Utara","鸲姬鹟","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","385","Taiga Flycatcher","Ficedula albicilla","Sambar Rengkung Merah","红喉姬鹟","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","386","Black Redstart","Phoenicurus ochruros","Murai-Jingga Hitam","赭红尾鸲","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","387","Daurian Redstart","Phoenicurus auroreus","Murai-Jingga Utara Asia","北红尾鸲","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","388","White-throated Rock Thrush","Monticola gularis","Tarum Rengkung Putih","白喉矶鸫","Yes","A","Vagr","NT","","","","","","","","","","","","","","","","","",""
"","389","Blue Rock Thrush","Monticola solitarius","Tarum Biasa","蓝矶鸫","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","390","Amur Stonechat","Saxicola stejnegeri","Murai-Sawah Biasa","东亚石䳭","Yes","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"Leafbirds (Chloropseidae)","391","Greater Green Leafbird","Chloropsis sonnerati","Burung-Daun Besar","大绿叶鹎","","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","392","Lesser Green Leafbird","Chloropsis cyanopogon","Burung-Daun Kecil","小绿叶鹎","Yes","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","393","Blue-winged Leafbird","Chloropsis moluccensis","Burung-Daun Biasa","蓝翅叶鹎","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"Flowerpeckers (Dicaeidae)","394","Scarlet-breasted Flowerpecker","Prionochilus thoracicus","Sepah-Puteri Belakang Kuning","赤胸锯齿啄花鸟","Yes","A","Vis","NT","","","","","","","","","","","","","","","","","",""
"","395","Thick-billed Flowerpecker","Dicaeum agile","Sepah-Puteri Ekor Salji Biasa","厚嘴啄花鸟","Yes","A","Vis","DD","","","","","","","","","","","","","","","","","",""
"","396","Yellow-vented Flowerpecker","Dicaeum chrysorrheum","Sepah-Puteri Tongkeng Kuning","黄臀啄花鸟","Yes","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","397","Orange-bellied Flowerpecker","Dicaeum trigonostigma","Sepah-Puteri Perut Jingga","橙腹啄花鸟","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","398","Scarlet-backed Flowerpecker","Dicaeum cruentatum","Sepah-Puteri Belakang Merah","朱背啄花鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Sunbirds (Nectariniidae)","399","Ruby-cheeked Sunbird","Chalcoparia singalensis","Kelicap Pipi Merah","紫颊直嘴太阳鸟","Yes","A","Vis","DD","","","","","","","","","","","","","","","","","",""
"","400","Brown-throated Sunbird","Anthreptes malacensis","Kelicap Mayang Kelapa","褐喉食蜜鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","401","Van Hasselt's Sunbird","Leptocoma brasiliana","Kelicap Belacan Biasa","蓝肩花蜜鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","402","Copper-throated Sunbird","Leptocoma calcostetha","Kelicap Bakau","铜喉花蜜鸟","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","403","Olive-backed Sunbird","Cinnyris jugularis","Kelicap Biasa","黄腹花蜜鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","404","Crimson Sunbird","Aethopyga siparaja","Kelicap Merah Biasa","黄腰太阳鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","405","Little Spiderhunter","Arachnothera longirostra","Kelicap-Jantung Kecil Biasa","长嘴捕蛛鸟","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","406","Thick-billed Spiderhunter","Arachnothera crassirostris","Kelicap-Jantung Paruh Tebal","厚嘴捕蛛鸟","Yes","A","Vis/Ex","CR","","","","","","","","","","","","","","","","","",""
"","407","Yellow-eared Spiderhunter","Arachnothera chrysogenys","Kelicap-Jantung Telinga Berus","小黄耳捕蛛鸟","Yes","A","Vis/Ex","CR","","","","","","","","","","","","","","","","","",""
"Old World Sparrows, Snowfinches (Passeridae)","408","Eurasian Tree Sparrow","Passer montanus","Pipit Rumah","麻雀","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","409","House Sparrow","Passer domesticus","Pipit Ubun Kelabu","家麻雀","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"Weavers, Widowbirds (Ploceidae)","410","Golden-backed Weaver","Ploceus jacksoni","Tempua Tudung Belakang Emas","苏丹金背织雀","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","411","Baya Weaver","Ploceus philippinus","Tempua-Asia Biasa","黄胸织雀","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"Waxbills, Munias & Allies (Estrildidae)","412","Scaly-breasted Munia","Lonchura punctulata","Ciak-Padi Pinang","斑文鸟","","A/C","Res/Intr","LC","","","","","","","","","","","","","","","","","",""
"","413","White-rumped Munia","Lonchura striata","Ciak-Padi Tuli","白腰文鸟","","A/C","Res/Intr","CR","","","","","","","","","","","","","","","","","",""
"","414","Javan Munia","Lonchura leucogastroides","Ciak-Padi Jawa","黑喉文鸟","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","415","Chestnut Munia","Lonchura atricapilla","Ciak-Padi Rawa Biasa","栗腹文鸟","","A/C","Res/Intr","VU","","","","","","","","","","","","","","","","","",""
"","416","White-headed Munia","Lonchura maja","Ciak-Padi Uban Barat","白头文鸟","","A/C","Res/Intr","LC","","","","","","","","","","","","","","","","","",""
"","417","Red Avadavat","Amandava amandava","Ciak Merah","红梅花雀","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"Wagtails, Pipits (Motacillidae)","418","Forest Wagtail","Dendronanthus indicus","Pipit-Rimba","山鹡鸰","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","419","Eastern Yellow Wagtail","Motacilla tschutschensis","Pipit-Batu Zaitun Timur","黄鹡鸰","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","420","Citrine Wagtail","Motacilla citreola","Pipit-Batu Kepala Kuning","黄头鹡鸰","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","421","Grey Wagtail","Motacilla cinerea","Pipit-Batu Pinggul Kuning","灰鹡鸰","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","422","White Wagtail","Motacilla alba","Pipit-Batu Murai Erasia","白鹡鸰","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","423","Paddyfield Pipit","Anthus rufulus","Apit-apit Biasa","田鹨","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","424","Tree Pipit","Anthus trivialis","Apit-apit Pokok Barat","林鹨","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","425","Olive-backed Pipit","Anthus hodgsoni","Apit-apit Pokok Timur","树鹨","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","426","Red-throated Pipit","Anthus cervinus","Apit-apit Rengkung Merah","红喉鹨","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"Buntings (Emberizidae)","427","Black-headed Bunting","Emberiza melanocephala","Pipit-Belukar Besar","黑头鹀","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Singapore Bird Checklist (version 2023-3)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Compiled by the Singapore Bird Records Committee","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Version 2023-3 (August 2023)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recommended citation:
Singapore Birds Project (2023). Singapore Bird Checklist, version 2023-3. Retrieved October 23, 2023, from https://singaporebirds.com/downloads","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
