"Family","No.","English Name","Scientific Name","Malay Name","Chinese Name","Review Species","Category","Local Status","RDB 3 Status","","","","","","","","","","","","","","","","","",""
"","61","Mountain Imperial Pigeon","Ducula badia","Pergam Bukit Biasa","山皇鸠","Yes","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"","62","Pied Imperial Pigeon","Ducula bicolor","Rawa Biasa","斑皇鸠","","A/C","Intr","DD","","","","","","","","","","","","","","","","","",""
"Finfoots (Heliornithidae)","63","Masked Finfoot","Heliopais personatus","Pedendang Asia","亚洲鳍趾鷉","Yes","A","Vagr","EN","","","","","","","","","","","","","","","","","",""
"Rails, Crakes & Coots (Rallidae)","64","Slaty-breasted Rail","Lewinia striata","Sintar Biasa","灰胸秧鸡","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","65","Common Moorhen","Gallinula chloropus","Tiung-Air Biasa","黑水鸡","","A","Res","EN","","","","","","","","","","","","","","","","","",""
"","66","Grey-headed Swamphen","Porphyrio poliocephalus","Panglin Biasa","紫水鸡","Yes","A","Vis/Ex","CR","","","","","","","","","","","","","","","","","",""
"","67","Black-backed Swamphen","Porphyrio indicus","Panglin Indonesia","黑背紫水鸡","Yes","A","Vis","NE","","","","","","","","","","","","","","","","","",""
"","68","Ruddy-breasted Crake","Zapornia fusca","Sintar-Kecil Belacan Biasa","红胸田鸡","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","69","Band-bellied Crake","Zapornia paykullii","Sintar-Kecil Belacan Berbelang","斑胁田鸡","Yes","A","Vagr","NT","","","","","","","","","","","","","","","","","",""
"","70","Baillon's Crake","Zapornia pusilla","Sintar-Kecil Biru Biasa","小田鸡","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","71","Slaty-legged Crake","Rallina eurizonoides","Sintar-Merah Kaki Kelabu","白喉斑秧鸡","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","72","Red-legged Crake","Rallina fasciata","Sintar-Merah Kaki Api","红腿斑秧鸡","","A","Res/Mi","NT","","","","","","","","","","","","","","","","","",""
"","73","White-browed Crake","Poliolimnas cinereus","Ruak-ruak Kening Putih","白眉田鸡","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","74","Watercock","Gallicrex cinerea","Ayam-ayam Tanduk","董鸡","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","75","White-breasted Waterhen","Amaurornis phoenicurus","Ruak-ruak Biasa","白胸苦恶鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Grebes (Podicipedidae)","76","Little Grebe","Tachybaptus ruficollis","Tetimbul Kecil Biasa","小䴙䴘","Yes","A","Res","CR","","","","","","","","","","","","","","","","","",""
"Buttonquail (Turnicidae)","77","Barred Buttonquail","Turnix suscitator","Puyuh Biasa","棕三趾鹑","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Stone-curlews, Thick-knees (Burhinidae)","78","Beach Stone-curlew","Esacus magnirostris","Kedidi-Malam Besar Pantai","澳洲石鸻","Yes","A","Vis","CR","","","","","","","","","","","","","","","","","",""
"Stilts, Avocets (Recurvirostridae)","79","Black-winged Stilt","Himantopus himantopus","Kedidi Kaki-Panjang Biasa","黑翅长脚鹬","Yes","A","Res/Mi","DD","","","","","","","","","","","","","","","","","",""
"","80","Pied Stilt","Himantopus leucocephalus","Kedidi Kaki-Panjang Australasia","澳洲长脚鹬","Yes","A","Res","DD","","","","","","","","","","","","","","","","","",""
"Plovers (Charadriidae)","81","Grey-headed Lapwing","Vanellus cinereus","Ceriwit Kepala Kelabu","灰头麦鸡","Yes","A","Mi","NE","","","","","","","","","","","","","","","","","",""
"","82","Red-wattled Lapwing","Vanellus indicus","Ceriwit Duit-duit","肉垂麦鸡","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","83","Masked Lapwing","Vanellus miles","Ceriwit Berpial Australasia","白颈麦鸡","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","84","Pacific Golden Plover","Pluvialis fulva","Kerinyut Biasa","金斑鸻","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","85","Grey Plover","Pluvialis squatarola","Kerinyut Kelabu","灰斑鸻","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","86","Common Ringed Plover","Charadrius hiaticula","Rapang Gelang Besar","剑鸻","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","87","Little Ringed Plover","Charadrius dubius","Rapang Gelang Kecil","金眶鸻","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","88","Kentish Plover","Charadrius alexandrinus","Rapang Pantai Biasa","环颈鸻","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","89","White-faced Plover","Charadrius dealbatus","Rapang Pantai Cina","白脸鸻","Yes","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","90","Javan Plover","Charadrius javanicus","Rapang Pantai Jawa","爪哇鸻","Yes","A","Res","NE","","","","","","","","","","","","","","","","","",""
"","91","Malaysian Plover","Charadrius peronii","Rapang Pantai Melayu","马来鸻","","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","92","Greater Sand Plover","Charadrius leschenaultii","Rapang-Sisir Besar","铁嘴沙鸻","Yes","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","93","Tibetan Sand Plover","Charadrius atrifrons","Rapang-Sisir Kecil","青藏沙鸻","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","94","Oriental Plover","Charadrius veredus","Rapang Padang Asia Timur","东方鸻","Yes","A","Vagr","LC","","","","","","","","","","","","","","","","","",""
"Painted-snipes (Rostratulidae)","95","Greater Painted-snipe","Rostratula benghalensis","Meragi Biasa","彩鹬","","A","Res","EN","","","","","","","","","","","","","","","","","",""
"Jacanas (Jacanidae)","96","Pheasant-tailed Jacana","Hydrophasianus chirurgus","Burung-Teratai Ekor Panjang","水雉","Yes","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"Sandpipers, Snipes (Scolopacidae)","97","Eurasian Whimbrel","Numenius phaeopus","Kendi Gajah Erasia","中杓鹬","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","98","Little Curlew","Numenius minutus","Kendi Kerdil Asia","小杓鹬","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","99","Far Eastern Curlew","Numenius madagascariensis","Kendi Besar Timur","大杓鹬","Yes","A","Vagr","EN","","","","","","","","","","","","","","","","","",""
"","100","Eurasian Curlew","Numenius arquata","Kendi Besar Biasa","白腰杓鹬","Yes","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","101","Bar-tailed Godwit","Limosa lapponica","Kedidi-Raja Ekor Belang","斑尾塍鹬","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","102","Black-tailed Godwit","Limosa limosa","Kedidi-Raja Ekor Hitam","黑尾塍鹬","Yes","A","Mi","CR","","","","","","","","","","","","","","","","","",""
"","103","Ruddy Turnstone","Arenaria interpres","Kedidi-Kerikil Merah","翻石鹬","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","104","Great Knot","Calidris tenuirostris","Kedidi-Dian Besar","大滨鹬","Yes","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","105","Red Knot","Calidris canutus","Kedidi-Dian Kecil","红腹滨鹬","Yes","A","Vagr","NT","","","","","","","","","","","","","","","","","",""
"","106","Ruff","Calidris pugnax","Kedidi Ropol","流苏鹬","Yes","A","Vagr","LC","","","","","","","","","","","","","","","","","",""
